,ari,ami,acc,f1,rec,pre,mrec,mpre,ss,vm,h,c,time
distilroberta+umap10+clara,0.8709508345451761,0.8751113902489241,0.912166576712212,0.8355911750411162,0.825689586132365,0.8537489806461575,0.0017035775127768,0.0003037667071688,0.7575255632400513,0.8751382839953472,0.8872623196616175,0.8633411206236502,114.126380443573
distilroberta+umap10+kmeans,0.8624376045127843,0.8720941147104695,0.8961878249012868,0.8258507826654613,0.8130114108531674,0.849287655291374,0.0,0.0,0.7697392106056213,0.8721215953751117,0.8862024698979211,0.8584811844653545,114.2869062423706
distilroberta+umap5+clara,0.8627107842571515,0.8718110754054768,0.9013720421554982,0.82895533999941,0.8170417731280821,0.8498501075256898,0.0,0.0,0.7657545208930969,0.871838635819619,0.8853130419889411,0.8587682397908207,111.66195297241212
distilroberta+umap5+gmm,0.9081924772810436,0.8926331164762564,0.9584978552964236,0.9372463950837278,0.9565199105500012,0.9248975039472838,0.9063032367972744,0.6052332195676906,0.7618786692619324,0.8926565015798407,0.8951963202306862,0.8901310539195343,111.62215995788574
distilroberta+umap5+hdbscan,0.913565265260639,0.8983576836611487,0.9626168224299064,0.9583175804159458,0.959029431655434,0.9579651618205164,0.899488926746167,0.9010238907849828,0.7751837372779846,0.8983798899822973,0.8985554550726514,0.8982043934844369,132.49783897399902
distilroberta+umap5+kmeans,0.8620328337545221,0.8717348525195275,0.8965002982700339,0.8260339793613114,0.8134088372961684,0.8498822853832599,0.0017035775127768,0.0002372479240806,0.7653541564941406,0.8717624152645639,0.8856812169014442,0.8582743229096189,110.94062900543211
doc2vec100+umap5+kmeans,0.0343605764336609,0.0616413485345296,0.2348521432832429,0.2160279166975107,0.2110044627517454,0.2419154734904711,0.0017035775127768,0.0006527415143603,0.2377291172742843,0.0618456506044727,0.0620284510361635,0.0616639244478379,142.80247902870178
fasttext100+umap5+kmeans,0.8246359410196779,0.828199678900973,0.8758344459279038,0.8124725165496047,0.7960158604133953,0.8389521499013648,0.0187393526405451,0.0022550225502255,0.6768337488174438,0.8282365459292979,0.8426136387050471,0.8143418406265736,79.00451326370239
lda,0.2369986793069596,0.2953861221055921,0.4815640712439281,0.4377335097227053,0.4794575025295233,0.4922726061050144,0.1095,0.038850452368281,,0.2955409524742327,0.2936914749584003,0.2974138712158758,83.63068723678589
mpnet+svd50+kmeans,0.8346280439212065,0.8361527730824471,0.8948669147515836,0.8276653835445067,0.817631265701147,0.8503038419565994,0.0715502555366269,0.0100743583593187,0.2055200785398483,0.8361879523857547,0.8502516895566169,0.8225818923477884,113.39808130264282
mpnet+umap10+kmeans,0.8694617532286234,0.867174931033351,0.9227054512399512,0.8423043207591259,0.8339953542002025,0.8537047785035207,0.0034071550255536,0.0008025682182985,0.7691260576248169,0.8672035878165312,0.877596946626292,0.8570535242470159,172.22284483909607
mpnet+umap5+clara,0.8750676573523375,0.8728647403505606,0.9246513081271482,0.8723877519052992,0.9347952037449736,0.8766196860443471,0.7255,0.1599427753934191,0.7434659004211426,0.872892063483888,0.8867356700866683,0.8594740617084297,165.5972764492035
mpnet+umap5+hdbscan,0.8927850914585665,0.881221756989615,0.9459989205465444,0.8518909165126471,0.8522515732320072,0.8524338661995511,0.0034071550255536,0.0030487804878048,0.7478896975517273,0.8812476916366877,0.881817278638701,0.8806788399796018,185.92228937149048
mpnet+umap5+kmeans,0.8759147912597761,0.8729515723571182,0.92619947163594,0.8740207164188997,0.9358281395768872,0.8772824051150648,0.7385,0.1649423588530889,0.747580885887146,0.8729788851434772,0.8865573728520922,0.8598100585461043,171.4680507183075
tfidf+svd50+kmeans,0.7494413814281634,0.7751422287077174,0.866659091554697,0.7948655356900169,0.7857323738614606,0.8144818083743712,0.0306643952299829,0.0073081607795371,0.1585341030461841,0.7751909034958406,0.7818808571964883,0.7686144601607766,3.2438008785247803
tfidf+umap5+clara,0.8179456402143527,0.8017107460665562,0.9008465187626056,0.8325065944686992,0.8418173368539578,0.8426045360434979,0.2640545144804088,0.0524889942431425,0.5452165603637695,0.801753434291253,0.8130914263225137,0.7907272944584682,77.73531484603882
tfidf+umap5+hdbscan,0.8314262674981449,0.8156455833537934,0.9245234781126609,0.9174347136721317,0.9197196351992526,0.9173933917894248,0.8245315161839863,0.8330464716006885,0.5742849707603455,0.8156858501127126,0.8160576560270454,0.8153143828427928,198.45068264007568
tfidf+umap5+kmeans,0.8262570234832683,0.8078721540487774,0.906783512768798,0.8555823570569885,0.9166365139657526,0.8593785464054303,0.813,0.1569634703196347,0.5556356906890869,0.8079134241429733,0.8211383795751952,0.7951077091995072,75.93364953994751
use+svd30+kmeans,0.8278645855629561,0.8187111289861614,0.9228616879243248,0.9206841983454588,0.9215175839394816,0.920463002332006,0.8573,0.8500333682905902,0.739117443561554,0.8187507411517272,0.8188045883677054,0.8186969010176144,12.514028310775757
use+umap5+kmeans,0.8278645855629561,0.8187111289861614,0.9228616879243248,0.9206841983454588,0.9215175839394816,0.920463002332006,0.8573,0.8500333682905902,0.739117443561554,0.8187507411517272,0.8188045883677054,0.8186969010176144,56.14441204071045
word2vec100+umap5+gmm,0.8955333959249391,0.8767605876706361,0.9542084481436242,0.948445160842456,0.9435885968326106,0.9539986991568146,0.8313458262350937,0.9224952741020794,0.7856482863426208,0.8767875451471469,0.8760311813823434,0.8775452161268572,104.21549773216248
word2vec100+umap5+kmeans,0.8957966547582774,0.876968539055524,0.9543220748231684,0.9485598480721816,0.943855661000697,0.9539176462431488,0.8330494037478705,0.9209039548022598,0.7857846021652222,0.8769954502893805,0.8762581875863215,0.8777339546676021,103.72414183616638
word2vec20+umap5+hdbscan,0.8019129505870027,0.8029214671036209,0.8762605459761952,0.8100559863957492,0.7954926234897697,0.8349849366937556,0.0102214650766609,0.0014333492594362,0.6766315698623657,0.8029638273267807,0.8155879520141461,0.7907245521933047,139.20009565353394
word2vec20+umap5+kmeans,0.8019129505870027,0.8029214671036209,0.8762605459761952,0.8100559863957492,0.7954926234897697,0.8349849366937556,0.0102214650766609,0.0014333492594362,0.6766315698623657,0.8029638273267807,0.8155879520141461,0.7907245521933047,71.18247056007385
word2vec300+umap5+hdbscan,0.9026404264533824,0.8848632730804379,0.9574041985058092,0.9520588920783284,0.951204565008481,0.953109875061705,0.8773424190800682,0.8879310344827587,0.7928248047828674,0.8848884415892831,0.8845842851625918,0.8851928072508742,145.97734832763672
word2vec300+umap5+kmeans,0.9033482951216332,0.8852815917524091,0.957702468539613,0.9522166663318709,0.9514378983418144,0.9531629489458202,0.8773424190800682,0.8864027538726333,0.7946491837501526,0.8853066682891194,0.8850188557169119,0.8855946681184088,133.66138768196106
